name,author,publisher,pub_date,rating,reviews,description
悉为我有！：11世纪中国的快乐、拥有、命名,[美] 宇文所安,生活·读书·新知三联书店,2025-9,7.7,63,
谁在害怕性别,[美] 朱迪斯·巴特勒,岳麓书社,2025-9-20,7.2,106,
第二性,[法] 西蒙娜·德·波伏瓦,上海译文出版社,2025-8,9.5,179,
学生简史：理想教育何以成人,[美] 迈克尔·罗斯,生活·读书·新知三联书店,2025-9,0.0,8,
启蒙与颓废：世纪末时期柏林和维也纳的地下世界,[美]斯科特·斯佩克特,上海三联书店,2025-8,8.5,52,
幽赞化行：敦煌吐鲁番文献所见中古中国的占验与信仰,游自勇,浙江古籍出版社,2025-8,0.0,10,
眉隐之灵,[日] 泉镜花,广西师范大学出版社,2025-9,9.5,54,
玉米王国：中美洲考古纪略,李默然、钟华,中国社会科学出版社,2025-8,9.4,23,
污名陷阱：对高学历失业者的社会性围猎,[美] 奥弗·沙龙,中信出版社,2025-9-15,7.8,65,
传奇与绝技：木拱桥里的中国营造智慧,刘妍,中信出版集团,2025-9-1,9.1,18,
青之毒,亚戈,新星出版社,2025-9,8.2,172,
灵魂的风景：赫尔佐格回忆录,[德] 沃纳·赫尔佐格,文汇出版社,2025-10,9.0,23,
为了活下去，我们给自己讲故事,[美] 琼·狄迪恩,民主与建设出版社,2025-8,9.2,122,
中国近代外交官群体的形成：1861-1911（修订版）,李文杰,生活·读书·新知三联书店,2025-9,0.0,11,
我该如何写作,[法] 埃莱娜·西苏,北京联合出版公司,2025-9,8.7,61,
民俗学入门：民俗学入門,[日] 菊地晓,学苑出版社,2025-9,0.0,1,
驼背,[日] 市川沙央,台海出版社,2025-10-10,8.0,194,
在里面,[法] 埃莱娜·西苏,北京联合出版公司,2025-9,8.5,57,
晚清高官在民国,刘江华,生活·读书·新知三联书店,2025-9,9.1,32,
事件：批判理论的事件转向,蓝江,广西师范大学出版社,2025-9,8.7,21,
